khach_cmt,rating,shop_phan_hoi
"dáng quần ko đẹp lắm, được cái rẻ 🥲. hình ảnh mang tính lấy xu",4,"🥰cảm ơn bạn đã quan tâm mua sản phẩm và đánh giá cho shop! 💙chúc bạn luôn xinh đẹp và thành công trong cuộc sống! - lưu ý: để chọn size quần chuẩn các bạn hãy lựa chọn theo số đo vòng eo & vòng mông nhé! 🌟xm ngọc duy cam kết 💯 %🌟 + miễn phí đổi - trả hàng lỗi, nhầm mẫu và size do shop. + hỗ trợ đổi hàng, size, màu khi khách đặt nhầm. + thu hồi hàng - hoàn tiền khi khách nhận hàng không thích"
"giao nhầm size. đặt 2 xs mà đi giao 1 cái xl. từ xs mà nhảy lên tận xl ko chấp nhận đc luôn ấy. khuyên bạn nào đặt xs mà bụng to thì nên nhích lên s. vải đẹp, đường may chắc chắn, thoải mái. đóng gói kĩ, shiper thân thiện.",4,nan
"quần ok, đường chỉ mỏng dễ bung, về nên may lại vài đường nữa, eo hơi rộng so với mình chân thì thoải mái không bị chật. đóng gói bằng túi dán khá chuyên nghiệp, quần với giá này thì quá ok rồi nha.",4,nan
"sản phẩm khá ổn, chất vải chưa mềm lắm, mặc hơi bí, size m vừa với mình cao 1m60 nặng 48kg. shop dễ thương còn gửi quà tặng kèm",4,nan
quầnmay đẹp lém! nhưng size nhỏ quá! shop nhiệt tình đổi trả,4,nan
hàng giống hình.nhưng đặt đúng size mà bụng hơi chật. ống lại hơi rộng. nói chung là phải sửa 1 chút mới mặc được,4,nan
hàng ok lắm luôn ạ. vải đẹp mà có cái mua trừ hao phần mông rồi mà vẫn bị chật mà em chắc phải bóp lại mới đẹp hình mang tc lấy xu thôi ạ ,4,nan
"quần hơi chật so với size, m mặc size m, cao m62 nặng 53kg, đã chọn size l vẫn hơi chật và kích phần hông.giá tiền như vậy thì ko đòi hỏi nhiều",4,nan
"sản phẩm được, chất vải tốt, tuy nhiên khi nhận hàng 1 bên cúc không cài được do chệch gen. giao hàng nhanh. ",4,nan
quần đẹp. nhưng bị bung nút bài vẫn gán lại gửi cho khách. mong shop cẩn thận hơn,4,nan
"hàng được đóng gói cẩn thận, giao hơi lâu dáng quần không được đẹp, nói chung là không như mong muốn ai bị như vậy không phải là là một trong những người có thể làm được gì cho nó lành bác nào có thể làm được gì cho nó lành bác nào có thể làm được",4,nan
"- đặt 2xl shop giao xl, mặc kích đùi, kích mông -1* sz xl quần mặc lên trên rốn tẹo, eo 35cm, đũng cả cạp 34cm cho mọi người tham khảo",4,nan
sản phẩm cũng dc phù hợp với giá tiền. em khá thích,4,nan
chất mỏng dáng đứng mỗi tội phần cạp trên bị rộng lắm ý. cân nhắc kĩ trước khi mua,4,"🥰cảm ơn bạn đã quan tâm mua sản phẩm và đánh giá cho shop! 💙chúc bạn luôn xinh đẹp và thành công trong cuộc sống! - lưu ý: để chọn size quần chuẩn các bạn hãy lựa chọn theo số đo vòng eo & vòng mông nhé! 🌟xm ngọc duy cam kết 💯 %🌟 + miễn phí đổi - trả hàng lỗi, nhầm mẫu và size do shop. + hỗ trợ đổi hàng, size, màu khi khách đặt nhầm. + thu hồi hàng - hoàn tiền khi khách nhận hàng không thích"
"hàng về có chút thất vọng. vải xấu, nhăn. cúc bấm thứ hai lỏng. nói chung phù hợp giá tiền",4,nan
"m 42kg mà mặc size chật bụng, k ních nổi luôn, quên k hỏi shop tư vấn, cứ vô tư đặt theo bảng size shop đăng",4,nan
xinloi hình ảnh chủ mang tính chất minh họa sản phẩm tuỵt vời vải mềm 👍 shop giao hàng nhanh,4,nan
"quần khá ổn, tuy nhiên mình mặc hơi chật hông, nếu mình lấy size lớn hơn chắc là vừa.",4,nan
quần đẹp vải dày nma cái nút thứ 2 gài không được=),4,nan
"quần chất vải khá xinh, mềm, ship cũng không lâu lắm. nhưng mỗi tội chọn đúng size nhưng ship về thì mặc chật ạ:( buồn lắm luôn, h đổi thì lâu lắm nên đành chịu vậy! m.n mua chọn size lớn hơn xíu nếu lỡ có rộng thì còn may lại đc chứ chật như mình thì thôi xong ạ!",4,nan
"form đẹp, nhưng chắc mình k chuẩn nên mặc quần hơi phô 1 tí.nên mua",4,nan
giao hơi lâu,4,nan
