,khach_cmt,rating,shop_phan_hoi
49,"đáng nhẽ là 5*, nhưng vì đóng hàng bất cẩn làm móp méo hết giày nên tôi để 4*, shop chú ý cẩn thận hơn vì giày đẹp giá ok, k nên để những cái nhỏ nhặt này làm mất khách, cảm ơn.",4,
50,"Hàng đẹp nhưng mà shop giao hàng bị lỗi, chưa chú trọng dự uy tín",4,
51,Giày chuẩn mà bị rách như chuột gặm ,4,
52,"Giày đẹp giống hình nhưng giao sai màu,  mình đặt màu trắng mà giao màu đen. Thất vọng ghê. Mua giùm anh họ mà giao sai màu, giờ mà đổi hàng thì tốn thời gian. ",4,
53,"Giày nam khá là oki
Mà giày nữ thì giao sai màu ",4,
54,"Sản phẩm đẹp, như hình nhưng phần dây nhìn hơi kém, nói chung ổn trong tầm giá",4,
55,"Giày đẹp, nhưng tại sao đặt kèm bình tẩy xịt giày mà không có nhưng cũng tính tiền bình xịt luôn là sao ?",4,
56,Giao hàng nhanh. Sản phẩm chất lượng như shop giới thiệu. Khuyết điểm nhỏ là đóng gói hơi sơ sài. 4 sao uy tín cho shop.,4,
57,Cx đc ko tốt mấy,4,
58,Hàng đẹp nhưng đặt trắng gửi đen cho 4 sao,4,
59,,4,
60,"Giao hàng nhanh, sản phẩm thì tiền nào của đó tạm chấp nhận ",4,
61,So đúng hình nhưng giao hàng hơi lâu,4,
62,Mũi rày bị tuột chỉ ,4,
63,Giao hàng rất lâu tuy là mình ở hà nội nhưng đc cái hàng ổn so với giá tiền,4,
64,"Hàng đẹp ,ok",4,
65,Để đây và ko ns gì,4,
66,Giày đẹp nhưng size 39 mà rộng lắm luôn 😭 mua 2 đôi đều size 39 nhưng đôi này rộng,4,
67,đẹp nhưng hơi có vấn đề hợp vs mấn nỳ:)),4,
68,,4,
69,"Sp ok 
Đóng gói ko chắc chắn cho lắm 
Cho sohop 4* vì ko đóng gói kĩ ",4,
70,"Em chân 22,5 cm đi 39 đc nhá shop :v
Cái bảng quy đổi kia là của hàng au hoặc nổi thôi 
Giày trắng hơn là 5* nhaa",4,
71,Hàng ổn nếu mua thì các bạn nên chọn dư 1 size để mang tất vào là vừa,4,
72,Mua đôi trắng shoop lại gửi đôi đen 😑😑😑,4,
73,Mũi giày hơi bị móp. Hàng giao đúng mẫu và rất nhanh 👍,4,
74,Giày đẹp nhưng gửi nhầm màu mình đặt màu đen gửi màu trắng ,4,
75,"Sản phẩm giao về ổn
K có phản quang + giao nhầm màu nhưg không sao",4,
76,Đóng gói hàng hơi móp méo nhưng giày đẹp ăn mong  shop gói hàng đẹp hơn,4,
77,Shop giao sai màu nhưng chất lượng tạm được -1*,4,
78,"Đóng gói hơi sơ Sài , sợ bị mất form giày",4,
79,,4,
80,,4,
81,,4,
82,,4,
83,,4,
84,,4,
85,,4,
86,Đẹp,4,
87,,4,
88,,4,
89,,4,
90,,4,
91,,4,
92,,4,
93,,4,
94,,4,
95,"Đẹp, hợp giá tiền. Một số chỗ bị bục chỉ(ít)",4,
96,,4,
97,"Hộp đựng giầy bị ướt móp méo, đầu mũi giày bị móp",4,
98,,4,
99,,4,
100,,4,
101,,4,
102,,4,
103,,4,
104,,4,
105,Khá ổn,4,
106,,4,
107,"Đặt màu trắng nhưng lại giao màu đen, nhưng thôi",4,
108,,4,
109,Giày ok nhưng shop giao nhầm màu,4,
110,"Shop giao sai màu, chất lượng tạm ổn",4,
111,,4,
112,Đặt size 40 shop giao cho size 41,4,
113,,4,
114,Hàng giống mẫu. Rất ok ạ,4,
115,Giày rất đẹp nhưng khâu đóng gói hơi sơ sài ,4,
116,,4,
117,,4,
118,,4,
119,,4,
120,,4,
121,,4,
122,,4,
123,,4,
124,Sp oke trong tầm giá,4,
125,Hàng chất lượng,4,
126,,4,
127,,4,
128,,4,
129,,4,
130,,4,
131,,4,
132,,4,
133,"cũng ok, ổn nhá shop =)))",4,
134,Shop giao sai màu 😢mong là sẽ đổi lại đc ạ,4,
135,,4,
136,,4,
137,,4,
138,Sai màu ,4,
139,,4,
140,,4,
141,Khá đẹp trong tầm giá.,4,
142,,4,
143,,4,
144,,4,
145,,4,
146,,4,
147,,4,
148,,4,
149,,4,
150,,4,
151,Được,4,
152,,4,
153,,4,
154,,4,
155,,4,
156,Giầy hơi móp 1 bên ở mũi giầy.,4,
157,,4,
158,,4,
159,,4,
160,,4,
161,,4,
162,,4,
163,,4,
164,,4,
165,,4,
166,,4,
167,,4,
168,Ok lắm,4,
169,,4,
170,Đóng gói k đẹp,4,
171,,4,
172,,4,
173,,4,
174,,4,
175,,4,
176,,4,
177,,4,
178,,4,
179,,4,
180,Đóng gói hơi bị méo. Nhưng không sao ❤,4,
181,,4,
182,,4,
183,,4,
184,,4,
185,,4,
186,,4,
187,,4,
188,,4,
189,,4,
190,,4,
191,Giao hàng hơi lâu,4,
192,,4,
193,,4,
194,Hơi khác so với hình,4,
195,,4,
196,,4,
197,,4,
198,,4,
199,,4,
200,Hàng đẹp y như tóm lại uy tín ,4,
201,Khá ổn,4,
202,Đường chỉ may còn hơi lệch chút ,4,
203,Nên mua nha mọi người ,4,
204,,4,
205,,4,
206,,4,
207,Ổn ,4,
208,,4,
209,,4,
210,,4,
211,,4,
212,,4,
213,,4,
214,,4,
215,"Shop đóng gói hơi đơn giản
Còn lại ok",4,
216,,4,
217,,4,
218,,4,
219,,4,
220,,4,
221,,4,
222,,4,
223,Đống gói sản phẩm ko tốt lắm chất lượng thì đc ,4,
224,,4,
225,,4,
226,,4,
227,,4,
228,,4,
229,,4,
230,,4,
231,"Đã là đc hàng, đẹp y như trong hình ạ, !",4,
232,Ko ưng lắm nhưng bỏ ra 100k cũng ok=)))),4,
233,,4,
234,,4,
235,,4,
236,,4,
237,,4,
238,,4,
239,,4,
240,,4,
241,Ổn,4,
242,,4,
243,,4,
244,,4,
245,Ok chất lượng khá ổn 98% giống ảnh ,4,
246,,4,
247,,4,
248,,4,
249,,4,
250,,4,
251,,4,
252,,4,
253,,4,
254,,4,
255,,4,
256,,4,
257,,4,
258,,4,
259,,4,
260,Giày đúng mẫu đẹp nha ae ,4,
261,,4,
262,,4,
263,"Tạm ổn, đúng giá tiền",4,
264,,4,
265,,4,
266,,4,
267,,4,
268,Không có phản quang,4,
269,,4,
270,,4,
271,Sai màu giày nha,4,
272,Tốt,4,
273,,4,
274,,4,
275,,4,
276,,4,
277,,4,
278,Ok,4,
279,,4,
280,,4,
281,,4,
282,,4,
283,,4,
284,,4,
285,,4,
286,,4,
287,,4,
288,,4,
289,,4,
290,,4,
291,,4,
292,,4,
293,,4,
294,,4,
295,,4,
296,,4,
297,,4,
298,,4,
299,,4,
300,,4,
301,Giày đúng mô tả. Nhưng giày ko có hộp nên bị mất fom và bị nhăn đánh giá 3*,3,
302,"Mình đặt 2 đôi trắng và 1 đôi đen, mà sao shop giao cho mình 3 đôi đen????",3,
303,"Giày đẹp nhưng shop giao thiếu bình tẩy giày , hỏi shop thì cứ vòng vo mỗi lần trả lời 1 kiểu khác",3,
304,"Hàng giao nhanh nhưng sp ko đc tốt lắm,sót nhiều chỉ thừa và hàng bị bóp méo ko phục hồi đc ạ",3,
305,Chất giày so với giá thì khá ok. Nhưng hàng của mình nhận lại bị lỗi. Mình có liên hệ shop thì shop cũng nói có thể trả hàng hoàn tiền. Nhưng vì giày mình tặng nên mình không thể đặt một đôi khác liền. Mình chỉ có thể xin lỗi người mình tặng. Hộp thì khá nhỏ so với đôi giày. Ko thích lắm. ,3,
306,"Giày đẹp,  đóng gói ko kĩ,  giày hợp với giá nhưng ko có phản quang giống ảnh ",3,
307,Kiểu giáng thì OK đúng như ảnh. Nhưng chất liệu nhựa kém. K phải loại ngon bổ rẻ. Nhưng tiền nào thì của vậy thôi. Muốn ngon thì mua cái vài trăm mới tốt dk. Ổn trong tầm giá ,3,
308,Giao hàng nhanh. Nhưng giày khi đóng gói k có hộp lm giầy bị méo mất form. Rất không hài lòng với điều này mong shop cải thiện,3,
309,giày đẹp nhưng bên vận chuyển kém làm méo hết giầyy 😭😭😭😭😭chcjcjcj,3,
310,"Hình 1 kiểu nhưng giày lại 1 kiểu
Chẳng biết do mình đặt sai hay shop lấy sai kiểu nữa ",3,
311,Giầy tạm được nhưng chỗ dây buộc giày khá phò cảm giác dễ rách :),3,
312,Giày đẹp nhưng đóng gói kém quá bị mất hết form giày vbajssshshsshshshjjsnsjsjsj,3,
313,Đường chỉ lỗi một số chỗ bị bung đường chỉ.,3,
314,"Giao hàng nhanh, hàng chất lượng tốt, đúng giá, hầu hết đều ổn. Mỗi tội đóng gói hơi túm, giày hơi nhăn",3,
315,"giá cả ổn, thời gian giao hàng nhanh, đúng mẫu và màu nhưng gói hàng như này thì không ổn lắm ạ",3,
316,Đặt màu trắng giao hàng màu đen shop làm ăn chán quá,3,
317,Cũng ok mà đóng gối chơi chán bên vận chuyển tới thì tơi tả nên giày không ưng lắm,3,
318,Nhận giày chả biết có đúng kích cỡ luôn ko vì đế giày xóa luôn cỡ giày :(( mua size 43 mà ko biết có nhận đúng size ko ạ vì đi ko vừa chân luôn trong khi đó đây là size to nhất ạ.,3,
319,"đặt màu trắng giao màu đen k phản quang nữa chứ.  mặc dù đã ib dặn hẳn hoi rồi, hết trắng hay gì cũng phải báo câu chứ. mua để tặng quà cũng k giữ fom giày cho khách. giày cũng tạm nên cho 3 sao. 😠",3,
320,Giao hàng nhanh kiểu dáng phù hợp với chị e hơn ae nên cân nhắc khi mua,3,
321,"giao hàng nhanh
nhét hơi ít giấy gây mất form giày
gói hàng chưa cẩn thận",3,
322,Sản phẩm thì OK . nhưng rõ ràng mình đặt Trắng size 41 lúc về thì lại Đen . shop làm ơn đọc chữ dùm .sãn phẩm thì k đáng giá bn. giờ đổi đi đổi lại thì mất công thế nên thôi ,3,
323,Đặt hàng trắng mà shop giao màu đen thấy cũng ok cho 3 sao...,3,
324,"Giày bị dơ như vầy, màu giày không giống ảnh, phần trên màu trắng ngà chứ không phải trắng tinh, nói chung tạm ổn",3,
