,khach_cmt,rating,shop_phan_hoi
0,Quàn jean baggy ống suông rộng nam nhìn khá ổn bên ngoài giặt phai ko ko bk nha để thử,4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
1,"Quần dày oke cs vẻ sẽ thun nhẹ hơi trật bụg sí
.............. giao hàg hơi lâu",4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
2,"Quần lên form khá đẹp, màu ok gần như hình. Đáng tiền. Giao hàng hơi lâu chút.",4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
3,Mình thấy quần cũng được nhưng mình đặt size to quá so với mình. Cạp quần hơi thấp,4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
4,"Quần form dáng rất đẹp luôn ạ, giặt thì không biết có bị phai hay làm sao không vì chưa thử. Đối với mình quần bò jean không có túi đùi trước là 1 điểm trừ lớn. Nhận quần bóc hàng có mùi nước tẩy clo khó chịu. Vẫn mạnh dạn cho 4 sao vì form và chất cứu cả cái quần. Nói chung là hợp giá tiền",4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
5,"Quần ra màu khá nhiều
Giao khá lâu, gói hàng bụi bẩn, ổnn thôi nhìn k ưng lắm",4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
6,Hshshhshahahshhshdhshajnanabbsvdhhdhhddhhdhshshshhs,4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
7,Vải mong kém chất lượng hon trướccccc đóng cũng đơn sơ nói chung là tạm ôn thoi vvvvcccccczssfgjkkheeddhkkjjfsssaxcvvvgggggggfdeethj,4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
8,Tất cả đều t.u.y.e.t v.o.i hy vọng shop sẽ phục vụ tốt như vậy mãi,4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
9,"Quần ổn nma hơi ngắn 
MmMaoaoaoaoaoaooaoalaoaoakalaoaoaaoa",4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
10,Quần màu khá đẹp nhe.........................mmmmmm...,4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
11,Quan xau nhungksysmsh ...gam tham haihaikags hay hay hat hát ht ậ,4,
12,"Shop giao nhầm màu ,.phục vụ tốt , nên thử mua hộ bạn nê k rõ lắm -",4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
13,Cung ba lavi jnhung ma hou mong kâgi. Hícv sksjshshhsnsnshahba,4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
14,Bfbtbthtntgnybtnynybnfhdjjrrjuy5557ư5ựuirurjriturjrj,4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
15,"quần siêu xinh luôn ,vải đẹp ,giao hàng nhanh nữa nhưng mà quần có nhiều chỗ dơ nha",4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
16,Quần đẹp. Lỡ đặt size 31 shop chưa lên hàng nên có ib lại mà shop ko cho đổi size :(( nếu hủy thì mất voucher hoàn xu :((,4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
17,Quần cũng ổn mà rất hôi mùi thuốc tẩy giao hàng thì rất lâu tới 15 ngày mới nhận đc,4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
18,"Chất quần mềm đẹp,mìk khuyên m.n ai muốn mua thì hãy nhắn tin shop shop kêu mìk mặc size nào thì mìk lấy size đó,đừg sợ nhỏ,quần to lắm m.n ạ,shop kêu mìk mặc size 31 nhưg mìk sợ nhỏ nên mìk lấy size 32 nhưg về nó to hơn size 33 của chị mìk nữa,còn về chất lượg và giá cả thì đây là giá cả hợp lí 😘",4,"""Cảm ơn Quý khách đã tin tưởng và ủng hộ 20We. Hi vọng rằng,bạn đã có những trải nghiệm mua sắm vui vẻ tại shop. Chúc bạn một ngày tốt lành !!!"""
