,khach_cmt,rating,shop_phan_hoi
0,- Quần vải bóng. Mặc vài lần khả năng sẽ xùi lông. Phù hợp giá tiền. Mua mặc 1 mùa cũng ok,4,
1,"Sản phẩm như hình. Giao hàng nhanh. Mình mua lần này là lần 2 rồi chất vải khá mỏng, video là quần mình mua lần đầu mua 4 cái thì 1 cái thì bị chỉ bung ra nhiều. Nói chung tiền nào của đó í mn.",4,
2,"Giao hàng nhanh, quần cũng ok, nói chung là nên mua nhé mọi người",4,
3,"Chất liệu quần mỏng khá mỏng, mỏng như quần âu. Co giãn nhẹ. Gấu quần bo mà như ko. Mùa đông mặc sẽ bị lạnh. Chất lượng vậy cũng tương xứng giá tiền.",4,
4,"hàng phù hợp với giá tiền, mỗi tội cùng XL mà cái rộng cái chật hơn. Nhưng ok vẫn dùng tốt",4,
5,Quần màu bóng nhìn k đẹpppppppppppppplppppppppppppppppppp,4,
6,"Sản phẩm thứ 2 mình ủng hộ shop, chi tiết bên ngoài không tồi nhưng lần này chỉ thừa tùm lùm làm mình chưa ưng ý hoàn toàn, mới nhận nên chưa đánh giá nhiều nhưng lần này đã khắc phục giao hàng nhanh và đường chỉ sọc, không cho 5sao vì có vẻ vải mỏng hơn quần trước",4,
7,Shop giao nhầm 1 mẫu quần. Nên cho 4sao thui. Quần mặc khá vừa vặn. Vài hơi mỏng. Nói chung là cũng đc.,4,
8,"Ok.sp dùng đc hợp lý 
Ksksnfbjlqodlmfnfnnfjsjjakowofi",4,
9,"Vải mỏng , nhưng tiền nào thì của nấy thôi, đặt đơn 12/12, nhưng bên shope vẫn chưa duyệt, đến tận 17/12 mới duyệt đơn, bên vc thì giao nhanh",4,
10,"Chất lượng sản phẩm rất rất ổn trong tầm giá, shop đóng gói cẩn thận nhưng hơi mỏng",4,
11,"mình đặt 2 cái xl thì chuyển 1 M, 1 XL, chán ghê. còn chất lượng thì ok",4,
12,"Giao hàng nhanh, đóng gói cẩn thận. Vải ok, phù hợp giá tiền.k",4,
13,"Hình ảnh minh họa. Quần mỏng, chất tạm dc. Form hơi rộng. Nói chung tạm dc",4,
14,"Giao hàng nhanh đóng gói cẩn thận, mình đã mun của shop và quay lại mua lần 2.",4,
15,Quần khá đẹp. Mình mua rộng hơn một size cho dễ mặc. Có điều vảo hơi mỏng,4,
16,Hàng giống hình nhưng chất liệu không ưng lắm. Giống đồng phục thể dục hơn.,4,
17,"Shop giao hàng nhanh nhưng quần vải hơi mỏng không được dày dặn, áo thì ok",4,
18,"Sản phẩm ok, chất lượng tuyệt vời, giá cả phải chăng,  khỏi phải nói",4,
19,Sbhsjdnxnxbsbshsbsnsndb dbsjznznxbbd sbsjdb shshbd d d đb d d ff f. F f f f sjsjdbxbdb dhshsbssb,4,
20,"Quần chất vải dễ bám bụi, mình đặt 3 cái 3 mẫu khác nhau nhưng shop giao nhầm cho 2 cái giống nhau, thôi ngại đổi nên dùng tạm cũng đc",4,
21,"Sp phù hợp với giá tiền
Hình ảnh chỉ mang tính chất nhận xu",4,
22,Quần chất mỏng hơn lô trước mua hơi thất vọng nhưng tại mua quen bên shop nên. 0 muốn đổi trả,4,
23,Sản phẩm y hình. Chất vải mỏng. Phù hợp giá tiền. Giao hàng nhanh.,4,
24,Vải mặc 1l là sờm.chắc chắn là sẽ k mua lại.giá cả cũng k fai quá rẻ.nhưng chất lượng khá chán,4,
25,"Giao hàng cũng nhanh, nhưng quần hơi mỏng k dc dày dặn cho lắm,",4,
26,"Chất vải cũng được, co giãn thoải mái nhưng form thì không chuẩn lắm. Ck mình toàn mặc sz L nhưng đặt L thì lại rộng quá.Vote điểm cho giao hàng nhanh!",4,
27,Tạm ổn so vs giá săn sale! Nếu săn đc giá thấp hơn nữa thì là ok so vs giá 😂😂😂mih thấy cug tạm ổn nhg ck mih k thik vì mỏng,4,
28,"Quần đẹp, mải láng, mịn, không bị xù. Hơi mỏng 1 chút nhưng vẫn ổn so với giá. Quần không bị lỗi. Giao hàng hơi chậm. Chắc do jt express nên thôi cho 4*",4,
29,chất lượng vãi hơi mỏng nhưng nói chung với giá này cũng tạm ổn. hình ảnh sao khi giao cũng giống vậy,4,
30,"Ship nhanh 
Mua hộ nên k rõ chất lượng sản phẩm
Hình mang tc nx..",4,
31,"Giao hàng khá nhanh. Sản phẩm đẹp, phù hợp với giá tiền",4,
32,Sản phẩm tốt nhưng bị lỗi mà shop vẫn gửi cho mình hơi thất vọng,4,
33,Quần mỏng phù hợp với giá tiền. Nếu bạn nào cao và gầy muốn mặc rộng thì đo xem quần của mình rồi chọn theo chiều dài là được nhé…,4,
34,"Giao hàng nhanh từ hà nội về hải phòng trong 1 ngày 
Chất liệu oke nhưng không giống trong ảnh",4,
35,"Quần may trượt vải hơi nhiều shop ơi! Giờ phải ngồi khâu lại, shop cố gắng để ý kiểm tra hàng nhé.",4,
36,Hình ảnh mang tính chất nhận xu. Chất lượng sản phẩm khá là ưng ý,4,
37,"Dydyfufufufuf7f7t7t7t7t7gig8y8y8y8y8y8y8y8y8y8y8y8y8y8y8y8y8y8yy8y8y⁸yy8t8,shop trả lời tn lâu",4,
38,hàng hóa ok với mức giá. chỉ thừa còn nhiều nhưg chịu khó cắt vậy. vài đường mai bị rút chỉ phải may lại,4,
39,Mặc vừa chất liệu hơi mỏng chút nhưng mà mặc trời mat nát thì ok,4,
40,"Hàng giao đúng mẫu, vải hơi mỏng nhưng với giá tiền này thì chấp nhận được",4,
41,"Vải đẹp, dày dặn. Mặc vừa rất ok. Giao hàng hơi lâu",4,
42,"Quần khá là đẹp 😘
Nhưng hơi dài tiền nào của đó khá oke",4,
43,"sản phẩm khá là oke ,chất hơi mỏng còn lại thì đẹp ❤️❤️❤️❤️🥰🥰🥰🥰",4,
44,Thung ok giản tốt mát nhưng khúc đầu gối bị xù không bị lỗi hay ntn nhưng 👌🏼 vì đã từng sử dụng sp rồi khá hài lòng nên ủng hộ tiếp vơi lại mặt trong nhà củ g ko qtrong lắm,4,
45,"Giao hàng nhanh
Vải dày, chỉ thừa rất nhiều, đường may không đẹp như lần trước mua.",4,
46,"Quần ổn, ok so với giá. Mặc nhanh bị xù nhưng mà giá thế thì ok ah :))
Cũng là 2XL mà quần này bé hơn nhiều so với quần 3 sọc ngang. Huhuhu ck mình mặc k vừa luôn",4,
47,"Vải mỏng hơn mình nghĩ, sọc thun chứ kf nhựa bóng . Giá tiền đi đôi vs chất lượng.",4,
48,Quần phai màu shop ạ. Mk đã con nhỏ ngại giặt tay. Mà giờ quần này lại ko giặt máy chung đc rồi. Quần có đường sồi xước dài và lộ quá. Shop lần sau để ý trước khi đóng gói hàng nhé,4,
49,Giao hàng lâu quá. M77 73kg mặt vừa. Vải thô hơi mỏng co giãn nhẹ,4,
50,"Quần chẹt ống chân, ko thể cho chân qua đc lại phải cho bố mặc. Kích cỡ lớn rồi mà ko vừa. Danh gia lay xu",4,
51,"Chất nhũn ko đanh
Đường may ko tamk được, chỉ thừa nhiều.
Shop giao hàng nhanh
Quần vừa vặn.",4,
52,Dùng theo thời gian mới biết được sản phẩm ntn nhé các ban ...k lên gửi hàng lỗi,4,
53,"vải mỏng mịn phù hợp mặc mùa hè , nhiều chỉ thừa ....................................…………...............................",4,
54,"Giao hàng nhanh, chất vải mỏng nhưng giá rẻ vậy nên mk cũng k ý kiến ",4,
55,"Mặc vừa như in, mk m6 hơn mà vẫn vừa, quần mặc phù hợp chơi thể thao, hơi mỏng, phần cổ chân độ giãn ít bó chặt quá lúc mặc vào hơi khó, nói chung ổn khá ok rồi",4,
56,"Đặt quần bo gửi mk quần k bo trừ 1 sao, tuy nhiên chất đẹp so với giá tiền! ",4,
57,"Mua lần 2
Lần đầu vải đẹp , lần này Vải hơi mỏng so với đợt cũ hơi thất vọng
Hy vong làm vải như cũ sẽ ủng hộ thêm",4,
58,"Quần đặt  2 kiểu cùng size 1 cái vừa 1 cái rộng như bao tải , mà thôi cx đc 4 saocho shop",4,
59,Bxuakduebydnalhchrnucjwufnhgoanyxndjxnxhndhdysnckdbd,4,
60,Chất đẹp vì mua lần 2 nên k nx cũng k kịp chụp ảnh. Khá ưng thanks shop ,4,
61,Kjbvvbjkjjnn Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg Gg,4,
62,Hàng oki chất mịn hợp giá tieen hơi bó chân ống rộng chút nữa đẹp. Hơi bó như con gái ,4,
63,"Tạm được hàng may bị lỗi, chỉ thừa nhiều. Good job!!!!!!!!!!!",4,
64,Hình ảnh chit mang tính chất nhận xuuuuuuuuuuuuuuuuuuuuuuuuuuu,4,
65,"Sản phẩm đẹp, vừa  vặn, shop giao hàng nhanh, sẽ ủng hộ tiếp...",4,
66,"Quần may có lỗi ở phần sọc quần, thiếu chỉ còn vải vóc và form ok tầm giá, có điểm cộng là giặt khá nhanh khổ",4,
67,"Mua cái đầu chất đẹp cho 5* nên mình quay lại mua tiếp cái t2 phân loại khác
Cơ mà chất vải khác, còn nhiều chỉ thừa, bị bục chỉ không như cái đầu tiên mua
Nên cho 4 sao nhé.",4,
68,,4,
69,Về vải thì oki còn về thiết kế ko giống vs hình,4,
70,"Quần mỏng, mặc nhà thì được chứ trời rét mặc ra ngoài trời không hợp",4,
71,"Giao hàng nhanh, thân thiện nhưng quần hơi mỏng nên chưa chim ưng cho lắm",4,
72,Hihhhjjjjjkkkkmmmnjokfkjtjtktktkttititkttototororkrkrkrkrrkrkrktkrk,4,
73,Quần khá mỏng,4,
74,.,4,
75,Quần hơi mỏng nhưng so với giá tiền như này là ổn rồi đó mọi người ạ... chúc mọi người có những trải nghiệm thú vị với shop,4,
76,"Quần cũng ok, tạm được, chất liệu cũng chưa đủ dày……………………..",4,
77,sp ok.!! nv ship hàng xưng mày cho 4 sao shop để shop cho nv ship chỉnh sửa,4,
78,"Tạm ổn so với giá tiền, ống quần hơi chật 
rapviet reply - 9T8rapviet reply - 9T8rapviet reply - 9T8rapviet reply - 9T8rapviet reply - 9T8rapviet reply - 9T8rapviet reply - 9T8rapviet reply - 9T8rapviet reply - 9T8rapviet reply - 9T8",4,
79,"Rẻ, mặc được, nên mua.................hình ảnh mang tính nhận xu, nhưng trừ 1 sao vì túi quần chưa mặc đã rách 2 bên",4,
80,"Sp ok okòk Sp ok okòk Sp ok okòk . Size M hoi nhỏ so với bạn 47kg nhà mình, bị cộc, hơi bó.",4,
81,"Quần dễ,kéo nhẹ là bị sứt ra r bị bung chỉ ở cạp quần nhá,còn lại thì quần ok rrrrrrrrrrrrrrrrrrrrrrrr",4,
