,khach_cmt,rating,shop_phan_hoi
0,Kêm kêm kêm kêm mận mận mận mận keo keo keo keo keo keo xoài xoài xoài xoài,4,
1,"Giống ảnh, nhưng phải nói là chất rất xấu, mặc lên sẽ không đẹp",4,
2,"Hàng giao nhanh, đúng mẫu nhưng chất vải ko ưng lắm, cho shop 4 sao thôi",4,
3,Hàng ổn nha giao nhanh lắm chất lượng thì có 1 vài chỉ thừa hết rùi:)),4,
4,"Quần rất đẹp nha mọi người, nên mua để ủng hộ shop. Hình ảnh chỉ mang tính chất nhận xu nha",4,
5,"nói chung ổn trừ việc shop giao lâu, bạn mình đặt shop này luôn sau mình 7 ngày mà nhận hàng trước mình, ko hiểu luôn 🤷‍♀️🤷‍♀️ vải quần khá đẹp, phần chữ là được thêu nha mọi người, size L khá rộng. Này mình chưa mặc nên chưa có hình nha",4,
6,"Khá ổn nhưng hơi dơ xíu…………..😿😿
Hình ảnh mang tính chất nhận xu",4,
7,Mình 60kg m70 thì mặc vừa chất liệu ổn ko có chỉ thừa nhưng giao hàng lâu lên cho 4 sao thôi,4,
8,"Mình đã đặt hai quần đen nhưng shop lại giao cho mình 1đen 1 hồng , mua cho con trai mặc tết mà shop Giao quần Hồng",4,
9,"Quần siu đẹp luoon nha mn chất quần hồng thì sẽ thô và dày hơn quần trăng,quần trắng tuy mỏng hơn tẹo nma chát siu đẹp ko lộ đâu nha mn,lần t2 mua của shop r,rất đẹp luôn nma mỗi tội quần trắng của mình dính một vệt bẩn dài giặt mãi ko hết :(( và phần chữ may hay xấu",4,
10,"đóng gói chắc chắn , k giống hình cho lắm ,chất liệu ổn , giá cả phù hợp",4,
11,"Hàng chất lượng được giao hàng nhanh shop cũng ok form không chuẩn lắm mặc vào nhìn hơi gầy
 ảnh và video mang tính chất nhận xu",4,
12,"Vải có vẻ hơi nóng í nma mình thấy quần khá đẹp, với giá tiền này thì như thế là hợp lí rùi ạ",4,
13,"Quần hơi nhiều chỉ thừa, phần chữ thêu chưa được hoàn thiện tốt cho lắm, nhận quần có 1 nốt đen lạ trên quần. Nhưng chất quần co dãn tốt, giao hàng nhanh, quần lên form đẹp. Chúc shop cố gắng hoàn thiện sản phẩm hơn",4,"Shop cảm ơn bạn nhiều, shop sẽ cố gắng hoàn thiện sản phẩm đẹp hơn nữa, chất liệu quần rất đẹp shop cảm ơn bạn mong bạn ủng hộ shop "
14,"Vải k bị sổ nhưg dây rút màu trắng k ưng lắm
Bsnshsnsnnsnsnsnnsn",4,"mình cảm ơn bạn nhiều ạ, mong bạn tiếp tục ủng hộ shop dài dài <3 hiiii"
15,"Quần giống hình y chang luôn
Mỗi tội là còn ít chỉ thừa
Mình cao m7 nặng 57 size L mà hơi bé",4,
16,"Vải khá mỏng mặc vào mùa hè thì được 
Dáng quần không ưng í lắm 
Đi với giày thì quần ko dc đứng form
Hơi thụng 
Mình có cảm giác giống quần thể dục",4,
17,"Shop giao hàng nhanh mà đẹp lắm luôn nha . quần ko dày cũng ko mỏng ,  mặc cực thích luôn. 1m67 size XL thoải mái nha vừa xinh luôn. Nhưng bị xù lông các bạn ạ :'(( mới mặc 1 lần mà xù luôn rồi",4,
18,"Vảo hơi bóng, mỏng, tạm được, còn chút chỉ thừa thôi 
Khá ổn nhé",4,
19,"Quần y hình, chất ok, quần rẻ mà đẹp, tuy nhiên giao hàng cực kì lâu, cùng HN giao HN  mà 1 tuần mới nhận hàng, lâu hơn cả đơn quốc tế",4,
20,"Quần tạm ổn, dùng để học thể online. Mặc mát nhưng không tôn dáng lắm.",4,
21,"Shop giao nhầm quần, may mà quần giao nhầm cx là màu đen, chất lg hàng ok, hơi thủng một tí ở mé chữ, giao nhanh (3ng), nói chung cx đáng tiền",4,Cám ơn em..
22,"Quần khá chuẩn với ảnh, phù vợ với giá tiền, lên rất đúng form!",4,Dạ đẹp mà anh cho 4 sao tội em gê
23,"Quần mỏng nhaa tương đối mát nma dài quá so với mình á 1m4 mặc dài lắm mik phải kéo lên tận trên nách mới mặc đc,trên 1m5 mặc tôn dáng lắm nha ,shop tư vấn size không có chuẩn nha cho 4* hoi ( hình ảnh chỉ mang tính chất nhận xu vì lười chụp) 😘",4,
24,"Quần có vết bẩn ạ, mong là mình tẩy ra, 98k mà quần vậy là đẹp 
Đóng gói cẩn thận, hình ảnh mang tính chất nhận xu thôi ạ!",4,
25,,4,
26,Ổn hahajanxgxusnhahahwhncnshajakamamhxh,4,
27,quần hơi mỏng nhưng ok,4,
28,"chất lượng gần tốt
đóng gói chắc
vải thấy chưa đẹp lắm
tạm ổn
chấp nhận được",4,
29,Bị lỗi chỉ ở phần chữ☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️,4,
30,"Sản phẩm đẹp, nhưng vải hơi mỏng, giao hàng nhanh ..........",4,
31,"Giao hàng nhah. Mỗi tội quần hơi mỏng, chưa ưng ý lắm so với giá tiền thì tạm chấp nhận",4,
32,"Chất vải rất ổn, lên form đẹp, mặc được cả 2 kiểu suông và bo dây rút cũng chắc chắn m nghĩ sẽ quay lại shop mua thêm lần nữa. Một sản phẩm đáng mua...",4,
33,"Quần giống như hình chất mỏng trơn, chất lượng phù hợp giá tiền mọi người lên mua ủng hộ, shop tư vấn khá nhiệt tình.",4,
34,"Thời gian giao hàng nhanh,bên vận chuyển ok, nói chung chất cũng giống với mấy quần thế thao 3 sọc kia",4,
35,"Sản phẩm chỉ ở mức tạm ổn vải khá dày dặn , suy nghĩ kĩ trước khi mưa chỉ cho 4 sao thôi",4,
36,"Quần đen mỏng có thể nhìn thấy bên trong , màu hồng thì tốt vải khá dày",4,
37,Quần vãi khá mỏng...không như mong đợi lắm...hình ảnh mang tính chất minh họa,4,
38,"quần khá mỏng nhưng vẫn okla
giao hàng nhanh giữ thần 
nói chung toàn bộ ổn 😅😍",4,
39,"Quần vải đẹp nhưng phần chữ thêu hơi nhiều chỉ thừa, mặc lên form dáng rất ok rất thích, rất đáng để mua nha mọi người",4,
40,"Quần mỏng nma hợp giá tiền thoi 
Lên form thì như vậy ạ",4,
41,"Quần lên dáng đẹp, vải tạm ổn hơi mỏng xíu nhưng mặc vẫn ok, giao hàng nhanh, ngon bổ rẻ, có điều có nhiều chỉ thừa xử lí xong vẫn ok",4,
42,"Giao hàng nhanh , chất mỏng lắm ah mặc tạm cũng dccccccccccccx",4,"mình cảm ơn bạn nhiều ạ, mong bạn tiếp tục ủng hộ shop dài dài <3 hiiii"
43,"Vải quần đen khá xấu quần trắng ok
Mình đặt 2 cái 1 size mà cái trắng dài hơn đen 4cm
1m75 size XL là ok mn",4,
44,"Quần tạm ổn, lúc giao về có vết dơ, phù hợp với giá tiền
Hàng giao nhanh cjjg",4,
45,form quần đepj khá oke nhưng chất vải dễ bị xù chưa thực sự xứng đáng với số tiền,4,
46,"Em mình m73 mặc vừa, do ở xa nên không biết vải nhnào nhưng shop rất nhiệt tình.",4,
47,"Nhìn ảnh cứ tưởng bên trong có lót lông ấm, hơi thất vọng, hàng mặc lên giống hình, mặc trời nóng thì oke",4,
48,Hàng đẹp giá rẻ anh shiper hiền lành thân thiện mình thấy mọi người nên mua hàng này,4,
49,tưởng vải cotton nhưng là vải trơn tạm ổn,4,
50,Hơi mong chữ thêu trên quần ko giống anh mấy nhưng nói chung ok phù hợp với giá tiền,4,
51,"Hàng về thấy ko đẹp và ưng ý cho lắm ,nhưng tiền nào của đó thôi ạ",4,
52,"Tiền nào của nấy,chữ thêu k được đẹp còn lại cũng được",4,
53,Quần vải hơi mỏng với lại chỉ may ko đc chắc chắn 1 tí những cái còn lại vẫn rất OK,4,
54,"Sản phẩm cũng tạm from quần ko ưng ý , hình ảnh chỉ mang tính chất nhận xu",4,
55,Khá ổn nha..........................................,4,
56,,4,
57,Hình ảnh mang tính chất minh họa,4,
58,Quần vải đẹp nhưng hơi ngắn. Size XL chỉ dài 92cm.Bạn nào cao trên m7 nên cân nhắc,4,
59,Vải thì khá ổn mỗi tội có bám vài vết bẩn đã thế còn giặt xả thuốc tẩy cũng ko ra lun.mn lưu ý khi mua quần khi giặt ko nên dùng bót dễ bị xù khi xát mạnh tay,4,"Hicccc em ơi quần trắng mà nên mình không tránh được chắc có thể do lúc gói hàng các bạn mở ra kiểm tra xem quần có đúng mẫu không á, chị đã liên hệ với em rồi dính 1 xíu như thế không đáng kể đâu bé giặt nhẹ đi là hết nhaa, chị cảm ơn em nhiều"
60,Vải đẹp mà chữ hơi bị lem 1 tý,4,
61,"Mới mua về đã bun chỉ r, vãi hơi mỏng, giống như hình vãi mềm nên mua nha",4,"Em ơi quần sao lại bung chỉ, để chị đổi lại cho em cái khác, quần chất Umi mềm mịn đẹp mà, mặc thích lắm em nhỉ "
62,,4,
