,khach_cmt,rating,shop_phan_hoi
0,"Chất lượng sản phẩm tốt, đáng đồng tiền, form rộng, có nhiều màu để lựu chọn,…………………………………………………………..verry good, vải mịn, mặt mát, ko nóng, có độ dãn và dây thắt thoải mái, đóng gói sản phẩm chắc chắn,……………………………….hjffjhduojcjkctihfjjfdhiffh, lần sau có mua sẽ ủng hộ, hình ảnh ko liên quan ạ kkkkk",4,
1,"Chất lượng phù hợp với giá cả. Khá ổn, form chuẩn, thoải mái...",4,
2,"Form áo lên rât ok nhưng vải quá mỏng so vs giá tiền, mng nên chú ý khi mua 🥰",4,
3,Đặt màu than giao màu xanh đen k vui cho lắm. Chất vải thun dày dặn màu line quần với áo k giống nhau. Kiểu này mặc thoải mái. Giao hàng khoảng 5 ngày ngoại thành🧐🥳😁🥳😁🥳😁,4,
4,"Giao hàng đủ số lượng, đúng size nhưng màu vải áo mà màu các viền không đồng nhất, ko giống hình miêu tả",4,
5,"Vải co dãn tốt, không có gì để chê, mua dùm rồi thử dùm luôn hahahahhaha....
 Cho 4 sao vì bên vận chuyển không giao tận nhà, mình phải xuống kho lấy nói lí do là chỗ mình dịch trong khi những đơn vị vận chuyển khác vẫn giao hàng cho mình đều đều",4,
6,"Vải rất mỏng nhưng mặc rất nóng, đóng gói rất sơ sài
Thấy không đáng với giá tiền",4,
7,Mua cho ông anh trai nên kb mặc đẹp k nữa. Đặt tử 10/10 đên hn mới nhận đc hàng. Biết là dich dã nhưng như này lâu qá lâu,4,
8,"Hàng giao cực lâu luôn gần cả tháng mới nhận được hàng , chắc do mưa nên lúc nhận hàng bịch đồ hơi ướt , ngoài giao hàng lâu thì mọi thứ đều ok",4,
9,"_ Bộ đồ chất vải ok.K mỏng cũng k quá dày
_ Mình đặt màu xám XL mà shop giao cái màu gì xanh xám chứ k phải xám như hình.Nên trừ 1*
_ Dùng voucher shoppe và trừ xu nên mua có 39k ak,quá hời 🥰😍
_ Đặt cho e trai mặt đi tập gim nhưng tiền là e trai trả 😆😄",4,
10,"Giao hàng nhanh, đóng gói chắc chắn. 
Chất thun này giặt vài lần sẽ bị chảy nên là m k thích cho lắm.",4,
11,"Đặt màu xám nhưng nhận màu xanh chì, màu k giống hình, đậm hơn nhiều. Hơi thất vọng",4,
12,"Nhìn chung cũng ok so với giá tiền . Nhưng áo mình bị vệt như vậy k biết giặt sạch không , nhưng ngay chính giữa ngực nhìn sẽ đập váo mắt luôn . Phí quá",4,
13,"Chất hơi nóng
Size L mặc khá đẹp
Giao hàng khá nhanh
Shipper nhiệt tình
Sẽ ủng hộ thêm",4,
14,"Chất vải hơi nóng, phom áo nhỏ so với size xl,  ......",4,
15,"Giao hàng khá nhanh, chất lượng tạm ổn không được đẹp như bộ lần đầu mình mua, giao đúng mẫu mã, đóng gói đẹp.",4,
16,"k hiểu s giá gốc 300k trong khi chất áo nóng rất nóng
nên mua khi sale 129k bởi nó hợp với giá tiền 
hơi thất vọng vì dù s cx là đồ shop mall",4,
17,Áo đẹp. Chuẩn bị hàng quá lâu. mmnnmmmmmmmmmmmmmmmmmmmmmm,4,
18,Chất lượng sản phẩm tuyệt. Thời gian giao đồ quá lâu. Mong shop cải thiện lại về thời gian giao đồ ,4,
19,"Hình ảnh mang tính chất nhận xu. Chất vải ok nha, ko biết mặc có mát không nữa",4,
20,"Chuẩn bị hàng lâu
Hàng đẹp xuất săcnluoon

Ck mình 72kg mua xl hơi rộng 1 xíu... mặc ở nhà cho thảoi mái☺️☺️☺️☺️",4,
21,"Quần áo mỏng, giống hình ảnh. Đường chỉ k chắc chắn, giặt máy giặt một lần đã bung chỉ.",4,
22,Hshsuiwswkssijejdpdkddjnfbfbbdbdndjiwjjajakskkdjndjeiwjejw873929384uejh38wiir,4,
23,"Bộ này vải nóng hơn, đắt so với giá, form rộng thoải mái......",4,
24,"Vãi mát, co dãn tốt nhưng hơi mỏng tay đường chỉ không được chắc chắn lắm lên form khá đẹp",4,
25,Shop đóng gói rất đẹp và sang .Nhưng mà chất vải này mỏng mà k thấm mồ hôi,4,
26,"Bộ thun vải mỏng mát. Mình lấy theo số đo chiều cao cân nặng, áo vừa mà quần lưng quá rộng luôn ạh. M size nhỏ nhất mà lưng thun 78 còn chưa kéo.",4,
