,khach_cmt,rating,shop_phan_hoi
31,ship khá lâu và phải tự ra lấy hàng,1,"Dạ rất xin lỗi về trải nghiệm không tốt của bạn. 
Shop nhận được đơn là đóng gói gửi đi liền nhưng vận chuyển là do shiper của đơn vị shopee đi giao, có chậm trễ do bên vận chuyển chứ ko phải do shop ạ,

 Vậy mà bạn đánh giá 1 sao cho shop thì tội mình quá :(( "
32,"Thời gian giao hàng tương đối nhanh. Áo lông mềm, màu sắc giống hình ảnh đăng. Chất lượng ok với giá thành ",4,
33,Màu nhận nhạt hơn hình chụp,4,
34,,4,
35,,4,
36,"Giao hàng nhanh , vải mềm nhưng ko dk dày lắm .... Kkgfjvgvbnm......",3,
37,Áo ok giao hàng quá là lâu lên đánh giá 3 sao,3,"Hix. Có đơn đặt hàng là shop đóng hàng gửi cho mình luôn ạ. Lâu là do bên vận chuyển ,cũng 1 phần ảnh hưởng dịch bởi dịch nên có những đơn giao lâu, mong chị thông cảm ạ."
38,,3,
39,"Hnay mới mặc. Ultr cái vàng vừa, cái kẻ trật đũng. K đóng đc cúc luôn. Còn cái râu trắng chưa thử 😌mà trong khi đó trong số kg",2,
40,Kích thước size 80 bé hơn 11kg bé mặc trật.,2,
41,"Màu sắc đẹp lắm, dáng áo hơi dài nhưng chất liệu có vẻ hơi nóng => 4 sao nhé",4,"Gạo House cảm ơn bạn đã tin tưởng và lựa chọn sản phẩm của Gạo ạ. Mỗi đánh giá của bạn là động lực để Gạo tiếp tục duy trì và nâng cao chất lượng sản phẩm, dịch vụ nhằm mang tới những trải nghiệm mua sắm tuyệt vời nhất cho quý khách hàng. Rất mong trong thời gian tới được bạn theo dõi và đồng hành. Cảm ơn bạn rất nhiều và chúc bạn 1 ngày vui vẻ /-heart"
42,"áo tạm ổn, chất vải không được thoáng, shop nhiệt tình, mình mua 3 áo, trắng với hồng thì không sao nhưng cái màu trắng lúc nhận bị dơ một tí. hình ảnh và vid mang tính chất lấy xu",4,
43,"Chất lượng khá, tiền nào của nấy nên ko đòi hỏi j nhiều. Giao hàng lâu",4,"Gạo House cảm ơn bạn đã tin tưởng và lựa chọn sản phẩm của Gạo ạ. Mỗi đánh giá của bạn là động lực để Gạo tiếp tục duy trì và nâng cao chất lượng sản phẩm, dịch vụ nhằm mang tới những trải nghiệm mua sắm tuyệt vời nhất cho quý khách hàng. Rất mong trong thời gian tới được bạn theo dõi và đồng hành. Cảm ơn bạn rất nhiều và chúc bạn 1 ngày vui vẻ /-heart"
44,"bảo tặng thêm áo nma lại không thấy đâu
còn lại chất liệu đẹp in đẹp 10₫",4,"Gạo House cảm ơn bạn đã tin tưởng và lựa chọn sản phẩm của Gạo ạ. Mỗi đánh giá của bạn là động lực để Gạo tiếp tục duy trì và nâng cao chất lượng sản phẩm, dịch vụ nhằm mang tới những trải nghiệm mua sắm tuyệt vời nhất cho quý khách hàng. Rất mong trong thời gian tới được bạn theo dõi và đồng hành. Cảm ơn bạn rất nhiều và chúc bạn 1 ngày vui vẻ /-heart"
45,áo chất đẹp tuy nhiên k đc giống mẫu về màu sắc hình in,4,"Gạo House cảm ơn bạn đã tin tưởng và lựa chọn sản phẩm của Gạo ạ. Mỗi đánh giá của bạn là động lực để Gạo tiếp tục duy trì và nâng cao chất lượng sản phẩm, dịch vụ nhằm mang tới những trải nghiệm mua sắm tuyệt vời nhất cho quý khách hàng. Rất mong trong thời gian tới được bạn theo dõi và đồng hành. Cảm ơn bạn rất nhiều và chúc bạn 1 ngày vui vẻ /-heart"
46,"Áo chất vải mặc không thoải mái lắm, áo hơi dài mà tay áo lại ngắn trông không cân đối lắm",4,
47,Hàng tạm được nhưng thái độ khi khách hàng phản ánh về sản phẩm không tốt 👍👍👍,4,"Gạo House cảm ơn bạn đã tin tưởng và lựa chọn sản phẩm của Gạo ạ. Mỗi đánh giá của bạn là động lực để Gạo tiếp tục duy trì và nâng cao chất lượng sản phẩm, dịch vụ nhằm mang tới những trải nghiệm mua sắm tuyệt vời nhất cho quý khách hàng. Rất mong trong thời gian tới được bạn theo dõi và đồng hành. Cảm ơn bạn rất nhiều và chúc bạn 1 ngày vui vẻ /-heart"
48,So với giá khuyến mại thì tiền nào của đó.so với giá chưa giảm thì đường may cẩu thả.chất phải chỉ tạm được.,4,"Gạo House cảm ơn bạn đã tin tưởng và lựa chọn sản phẩm của Gạo ạ. Mỗi đánh giá của bạn là động lực để Gạo tiếp tục duy trì và nâng cao chất lượng sản phẩm, dịch vụ nhằm mang tới những trải nghiệm mua sắm tuyệt vời nhất cho quý khách hàng. Rất mong trong thời gian tới được bạn theo dõi và đồng hành. Cảm ơn bạn rất nhiều và chúc bạn 1 ngày vui vẻ /-heart"
49,Sản phẩm rất đẹp,4,"Gạo House cảm ơn bạn đã tin tưởng và lựa chọn sản phẩm của Gạo ạ. Mỗi đánh giá của bạn là động lực để Gạo tiếp tục duy trì và nâng cao chất lượng sản phẩm, dịch vụ nhằm mang tới những trải nghiệm mua sắm tuyệt vời nhất cho quý khách hàng. Rất mong trong thời gian tới được bạn theo dõi và đồng hành. Cảm ơn bạn rất nhiều và chúc bạn 1 ngày vui vẻ /-heart"
50,Dáng tay áo nhận không giống hình,4,"Gạo House cảm ơn bạn đã tin tưởng và lựa chọn sản phẩm của Gạo ạ. Mỗi đánh giá của bạn là động lực để Gạo tiếp tục duy trì và nâng cao chất lượng sản phẩm, dịch vụ nhằm mang tới những trải nghiệm mua sắm tuyệt vời nhất cho quý khách hàng. Rất mong trong thời gian tới được bạn theo dõi và đồng hành. Cảm ơn bạn rất nhiều và chúc bạn 1 ngày vui vẻ /-heart"
51,,4,
52,,4,
53,,4,"Gạo House cảm ơn bạn đã tin tưởng và lựa chọn sản phẩm của Gạo ạ. Mỗi đánh giá của bạn là động lực để Gạo tiếp tục duy trì và nâng cao chất lượng sản phẩm, dịch vụ nhằm mang tới những trải nghiệm mua sắm tuyệt vời nhất cho quý khách hàng. Rất mong trong thời gian tới được bạn theo dõi và đồng hành. Cảm ơn bạn rất nhiều và chúc bạn 1 ngày vui vẻ /-heart"
54,,4,"Gạo House cảm ơn bạn đã tin tưởng và lựa chọn sản phẩm của Gạo ạ. Mỗi đánh giá của bạn là động lực để Gạo tiếp tục duy trì và nâng cao chất lượng sản phẩm, dịch vụ nhằm mang tới những trải nghiệm mua sắm tuyệt vời nhất cho quý khách hàng. Rất mong trong thời gian tới được bạn theo dõi và đồng hành. Cảm ơn bạn rất nhiều và chúc bạn 1 ngày vui vẻ /-heart"
55,,4,"Gạo House cảm ơn bạn đã tin tưởng và lựa chọn sản phẩm của Gạo ạ. Mỗi đánh giá của bạn là động lực để Gạo tiếp tục duy trì và nâng cao chất lượng sản phẩm, dịch vụ nhằm mang tới những trải nghiệm mua sắm tuyệt vời nhất cho quý khách hàng. Rất mong trong thời gian tới được bạn theo dõi và đồng hành. Cảm ơn bạn rất nhiều và chúc bạn 1 ngày vui vẻ /-heart"
56,,4,"Gạo House cảm ơn bạn đã tin tưởng và lựa chọn sản phẩm của Gạo ạ. Mỗi đánh giá của bạn là động lực để Gạo tiếp tục duy trì và nâng cao chất lượng sản phẩm, dịch vụ nhằm mang tới những trải nghiệm mua sắm tuyệt vời nhất cho quý khách hàng. Rất mong trong thời gian tới được bạn theo dõi và đồng hành. Cảm ơn bạn rất nhiều và chúc bạn 1 ngày vui vẻ /-heart"
57,,4,"Gạo House cảm ơn bạn đã tin tưởng và lựa chọn sản phẩm của Gạo ạ. Mỗi đánh giá của bạn là động lực để Gạo tiếp tục duy trì và nâng cao chất lượng sản phẩm, dịch vụ nhằm mang tới những trải nghiệm mua sắm tuyệt vời nhất cho quý khách hàng. Rất mong trong thời gian tới được bạn theo dõi và đồng hành. Cảm ơn bạn rất nhiều và chúc bạn 1 ngày vui vẻ /-heart"
58,Áo mỏng có 1 cái cũ không hài lòng mấy tết nên làm biến trả hànghh,3,
59,Jdbhfjsnjxnsjxjbshdjnxnsjsjsnnxncncxxcnsjcnsjcndjss,3,
60,"Áo đen đường may cổ nhăn nhúm, dáng áo k đẹp như hình . Trẻ em mà hơi eo lẽ ra xuông là đẹp",3,
61,"Chất liệu vải 
không đẹp như mong đợi",3,
62,"hình in nhìn ok , mà vải tệ",3,
63,"Vải nóng  , đồ trẻ em con xấu hơn  nản",3,
64,,2,
65,"Cùng 1 loại cân nặng như nhau.2 mẫu shop đánh số 6,8. Cứ tưởng về nó bằng nhau. Ai ngờ nó như áo mẹ áo con ấy. Thất vọng. Mua 4 đơn đơn nào cũng bị lỗi. Shop làm ăn ko có tâm gì cả.",1,"Gạo House rất tiếc về những trải nghiệm bạn đã gặp trong quá trình mua sắm sản phẩm. Gạo có chính sách hỗ trợ đổi sản phẩm và đổi size miễn phí bạn nha. Bạn phản hồi qua inb giúp Gạo ạ. Gao đã nhắn tin cho bạn rồi ạ, nhưng bạn chưa nhắn lại ạ. Rất mong bạn phản hôi sớm giúp shop ạ."
66,"Lúc bán thì shop rât nhiệt tinh trả lời tin nhắn lúc giao đồ mình kt thấy sai size thì nhắn tin shop xem và không trả lời nữa, áo ok shop nên xem lại cách phục vụ mua 6 cái giao sai 4 cái",1,Gạo House rất tiếc về những trải nghiệm bạn đã gặp trong quá trình mua sắm sản phẩm. Gạo có chính sách hỗ trợ đổi sản phẩm và đổi size miễn phí bạn nha. Bạn phản hồi qua inb giúp Gạo ạ. Gao đã nhắn tin cho bạn rồi ạ.
67,,1,"Gạo House rất tiếc về những trải nghiệm bạn đã gặp trong quá trình mua sắm sản phẩm. Gạo có chính sách hỗ trợ đổi sản phẩm và đổi size miễn phí bạn nha. Bạn phản hồi qua inb giúp Gạo ạ. Gao đã nhắn tin cho bạn rồi ạ, nhưng bạn chưa nhắn lại ạ. Rất mong bạn phản hôi sớm giúp shop ạ."
68,,1,Gạo House rất tiếc về những trải nghiệm bạn đã gặp trong quá trình mua sắm sản phẩm. Gạo có chính sách hỗ trợ đổi sản phẩm và đổi size miễn phí bạn nha. Bạn phản hồi qua inb giúp Gạo ạ. Gao đã nhắn tin cho bạn rồi ạ.
69,"Sản phẩm phù hợp vs giá tiền, giao hàng nhanh...............",4,Cảm ơn Anh chị 1605yen đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
70,"Đồ tương ứng trong tầm giá. Vải mềm, chất vải cận như hình. Đã giặt r, không bị ra màu.",4,Cảm ơn Anh chị l*****i đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
71,"Sản phẩm ko giống hình lắm 
Đường chỉ thưa ko chắc chắn lắm 
Mình đặt size 2 thấy dán size 2 mà mở ra thì là size 1 ‘ ko biết thế nào .. nhưng giá đó thì chấp nhận đc nè nên mình trừ 1* nhé",4,Cảm ơn Anh chị m*****2 đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
72,"Giao hàng ko nhanh, gói hàng cẩn thận, chất liệu vải bình thường. Chỗ dưới cùng chân quần bị trật và ngắn với bé 10,5kg. Cúc quần vào hở bỉm, nói chung là hàng kiểu gia công.",4,Cảm ơn Anh chị thanhlam842017 đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
73,"với giá này thì chất liệu cũng khá ok. giao hàng nhanh, shipper nhanh nhẹn nhiệt tình",4,
74,Chất vải mỏng. Kiểu dáng đẹp. Phù hợp với giá tiền. Giao hàng nhanh.,4,Cảm ơn Anh chị haphushop đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
75,"Chất vải tạm đc ko đc mềm mịn, dây kia là in nên ko bt có bị bong ra ko",4,
76,"Shop giao nhầm mẫu cho mình, nhưng do Tết đến rồi shipper ngta cũng nghỉ nên đổi lại chắc qua Tết mới nhận được nên thôi vậy, shop nên cẩn thận hơn khi soạn hàng giao khách nhé!",4,Cảm ơn Anh chị doannguyen.0996 đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
77,"Bộ dài tay kiểu học sinh vải mềm khá dễ thương, có điều cà vạt rời khó mà sử dụng cho trẻ sơ sinh",4,Cảm ơn Anh chị y*****n đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
78,chất vải khá mỏng! sp như hình! nhưng mua đợt sale nên giá hợp lý. ....................,4,Cảm ơn Anh chị tran.vui đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
79,"Với giá như thế này ko đòi hỏi nhiều, nvay là quá ok rồi.................................................",4,Cảm ơn Anh chị lttt1097 đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
80,Bộ này thực chất là màu trắng xám chứ khôgn phải đen trắng như shop nói ạ... chất cũng tạm ổn ... nhưng màu không đúng nên hơi thất vọng chút.. giao hàng nhanh..,4,Cảm ơn Anh chị t.2312 đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
81,"Giao hàng tương đối nhanh. Nhiều chỉ thừa. Hình cute, chất vải bình thường. Giá nhte là ổn. Mẫu bộ công tử k giống hình. Nơ hình màu xanh đậm, mà nơ cổ áo nhận đc màu ghi, dây cũng k dài bằng",4,
82,"Bộ rộng hơn mình tưởng tượng
Chất cũng mềm tay
Giao hàng nhanh",4,
83,Áo đẹp..chân quần hơi ngắn so với bé. Mặc vào chật mông,4,
84,"Hơi thất vọng, chất vải mỏng xấu, đường may lộ liễu không chắc chắn,",4,Cảm ơn Anh chị tamagochan2403 đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
85,Với giá thành này thì cũng khá oke. Chấ vải hợp với giá tiền,4,Cảm ơn Anh chị thydngtrnh đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
86,Chất lượng sản phẩm oke. Vải được nhưng form có vẻ hơi bé. Mình lấy từ 9-12kg mà bé nhà mình tầm 9kg mặc vừa. Đũng hơi ngắn. Sợ bé nào hơn 9kg mặc sẽ chật. Thời gian giao hàng siêu nhanh.,4,Cảm ơn Anh chị ndhai đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
87,"Đặt 3 sản phẩm thì giao 2.đã liên hệ shop mà shop vẫn chưa check nổi cái tin nhắn của m.gọi điện lần 1 thì hẹn hnay.hnay gọi điên lần 2 thì bảo hết hàng xin stk để bank lại tiên.tuy nhiên đến giờ vẫn chưa thấy bên shop có động tĩnh gì.buồn.
Sau khi đánh giá xong shop đã phản hồi lại luôn🤣🤣🤣",4,Cảm ơn Anh chị nguyenhoangtuongvy đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
88,Shop giao hàng nhanh. Sản phẩm chất lượng ko tốt lắm. Mọi người cân nhắc khi mua.,4,Cảm ơn Anh chị fire_fly_2412 đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
89,"Hơi nhiều chỉ thừa
Chất lượng Sản phẩm phù hợp giá tiền thôi nh",4,Cảm ơn Anh chị n*****e đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
