,khach_cmt,rating,shop_phan_hoi
0,Quần đẹp giá rẻ nhưng XS hơi rộng một xíu eo 59  cm đáng để mua,4,
1,"H.ảnh và âm thanh  chỉ mang t/c lấy xu
Mà hàng đc lắm mik 1m67 size L hơi cộc tí mà eo hơi rộng",4,
2,Quần ổn nhưng form hong đẹp lắm nzbvsgskhbmshdvdvdvdvxvbxbxb,4,
3,"Chất chất lượng tốt nhưng bị rách  một lỗ nhỏ, giao hàng nhanh , đóng gói cẩn thận",4,
4,"Thật sự quá thất vọng, ống quần thì ngắn, chất cũng khá oki thoii. Form kh đẹp như hình,làm cho đùi to hơn nhiều luôn ấy. Thật sự kh nên mua đâu ạ",4,
5,Quần vẫn rộng so với mình mặc dù đã chọn sz s . Cúc bấm thì mới bấm đc vài lần đã đứt ra. Nói chung tạm đc,4,
6,Shiper ko gọi giao hàng vứt ngay cổng. Mình 58 cân đặt 2xl vẫn kích bụng mn ah. Mn nên tăng size nha. Vải thì dầy dặn.,4,
7,"Quần đẹp, chất siêu dày dặn luôn 💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯",4,
8,"Quần vải tốt , kiểu đẹp ,rất hài lòng mọi người nên mua nhé  =)))))))))))))",4,
9,Hàng đẹp chất lượng .... Nhưng vải hơi thô.... Nói chung là tạm được...,4,
10,[Vietsub] Sống tha hương - Trình Hưởng | 在他乡 - 程响 | （Cover/bản nữ）,4,
11,Quần có lỗi nhỏ phần đáy. Jckwjckwkcnkwkdkwkfkwkjdchwjjcj,4,
12,Quần mặc tạm. Giá rẻ. Không biết chụp như nào nên lấy tạm ảnh khác,4,
13,Dáng quần già geeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,4,
14,"Hinhanh và video chỉ mang t/c nhận xu
Quần rất ưng, vải đẹp",4,
15,"Mọi thứ đều ổn, tuy nhiên size nhỏ hơn chuẩn. Nếu bình thường mặc size S mua quần này phải đặt M nha moik người",4,
