,khach_cmt,rating,shop_phan_hoi
0,áo mặc ko thoải mái cổ áo rộng tay áo thì hơi ngắn lỡ cở màu ở ngoài đậm hơn chụp lên mặc với quần đùi mà ai cũng chê già. Ko hài lòng vs sp😀,4,
1,Đẹp còn ý chỉ thừa gói hạng oke la😍😍 nói chung là sẽ ủng hộ shop tiếp nha,4,
2,"Đường may ẩu. Mình phải máy lại hết gấu, và vắt sổ, trần đè lại. Nhưng giá rẻ nên phải chấp nhận. 120k cả bộ nên phải tạm chấp nhận. Mình đã quay hết lại đường may trc khi sửa.",4,
3,"Áo đúng mẫu,màu bên ngoài không chuẩn như trong hình mấy. Nhưng vì giá rẻ nên nghĩ như vậy cũng phù hợp rồi",4,
4,"Áo màu xanh dương với áo nâu là 2 chất vải khác nhau. Chiếc màu xanh khá mát, vải mềm còn cái màu nâu chất rất thô, dày, nóng mình đã ngâm nước và giặt nhưng ko ăn thua mấy. Khá thất vọng vì chất ko giống nhau nhưng dc cái màu khá xinh, shop giao hàng nhanh",4,
5,"Áo mới hơi nhăn, giặt thì mềm. Tạm đc( mặc được hai kiểu thay đổi).  47 kí mặc như bầu. Giao hàng lâu
Được cái shop nhiệt tình",4,
6,"Áo vải mặc mát , shop tặng kèo khẩu trang màu hơi tối so với hình abcdghktrhbsbsbsbsbsbsnns",4,
7,Hơi thất vọng về áo. Vì sờ nhiều nilong. Shop giao hàng nhanh. Cảm ơn shop,4,
8,Áo khá đẹp vải hơi mỏng và ngắn nhưng so vs giá tiền thì cũng ok,4,
9,"vải cứng, cái cánh tiên hơi kì mặc sợ rớt huhuhuhuhuuuuuuuuuuu",4,
10,"Chất áo k như mong đợi của mình 
Rẻ nên k đòi hỏi nhiều nch cũng tạm được 
Giao hàng nhanh mà chủ shop cũng đáng yêu 
Hình ảnh chỉ mang tính chất minh họa vì mình lười chụp lắm..",4,
11,"Giao hàng nhanh 
Áo chất ok nhưng bị phai màu hồng ở một bên cánh tay thì phải giặt kbiet sạch không 
Cánh tay áo một bên ngắn một bên dài hơn🤦🏼‍♀️",4,
12,Áo 1 lớp siêu mỏng nhìn xuyên thấu ... lên phom tạm ổn nhưng giá rẻ nên k đòi hỏi đc ,4,
13,"Hơi thất vọng vì áo nhận được bị bẩn ở phần tay. Chất áo hơi nóng nhưng lên form khá ổn. Quần đen chỉ thích hợp mặc giấu cạp, mặc cũng khá rộng rãi thoải mái.",4,
14,BâjsgszkKagsgskzjznavzhusjsbabzvzuIsksnsbjskssmmsnsbzhzls,4,
15,Áo đẹp thái độ ship bơ mình k thể chấp nhận nổi,4,
16,Sỉu,4,
17,"Ổn so với giá, hơi ngắnkxkyzidoxkclhlclhstiaa3yarusi",4,
